tenure,monthlycharges,totalcharges,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,seniorcitizen,gender,prediction,churn probability %,remain probability %,model_used
15,35,525,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,29.94,70.06,logistic_regression
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,57.0,43.0,random_forest
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost
1,39,39,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost
11,39,429,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.72,49.28,adaboost
29,39,1131,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.18,49.82,adaboost
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,50.06,49.94,adaboost
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.9,50.1,adaboost
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.71,50.29,adaboost
48,74,3552,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.85,50.15,adaboost
48,74,3552,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.11,50.89,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Male,Stay,49.42,50.58,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,Female,Stay,49.52,50.48,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,Female,Stay,48.71,51.29,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,0,Female,Stay,48.46,51.54,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,48.41,51.59,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,48.52,51.48,adaboost
48,74,3552,Yes,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,5.41,94.59,logistic_regression
48,74,3552,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,3.39,96.61,logistic_regression
48,33,1584,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,0.68,99.32,logistic_regression
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,0,Female,Stay,7.48,92.52,logistic_regression
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,0,Female,Stay,12.09,87.91,logistic_regression
7,33,231,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,0,Female,Stay,17.13,82.87,logistic_regression
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,51.11,48.89,adaboost
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Churn,57.0,43.0,random_forest
1,1,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,Male,Stay,39.77,60.23,logistic_regression
